Table 1
Id;AlturaInic;AlturaFina;AlturaIn_1;AlturaFi_1;DeHecho;NombreCall;Nombrefin;AreaProgr;Zona;DENOMINA
1;0;0;0;0;2;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
2;101;199;100;198;2;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
3;5701;5799;5700;5798;2;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
4;1001;1099;1000;1098;2;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
5;501;599;500;598;1;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
6;401;499;400;498;1;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
7;301;399;300;398;1;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
8;5701;5749;5700;5748;1;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
9;5701;5749;5700;5748;1;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
10;5701;5749;5700;5748;1;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
11;5601;5699;5600;5698;2;CALLE PUBLICA;;15;1;REMEDIOS DE ESCALADA
12;5301;5399;5300;5398;2;TTE RAUL GOUBAT;;15;1;REMEDIOS DE ESCALADA
13;6801;6899;6800;6898;2;MEN AROLF;LICEO GENERAL PAZ;15;1;REMEDIOS DE ESCALADA
14;11;99;10;98;2;AV DEL JAPON;REMEDIOS DE ESCALADA;15;1;REMEDIOS DE ESCALADA
15;6951;6999;0;0;2;AV JUAN B JUSTO;REMEDIOS DE ESCALADA;15;1;REMEDIOS DE ESCALADA
16;6931;6949;6930;6978;2;AV JUAN B JUSTO;REMEDIOS DE ESCALADA;15;1;REMEDIOS DE ESCALADA
17;6901;6929;6900;6928;2;AV JUAN B JUSTO;REMEDIOS DE ESCALADA;15;1;REMEDIOS DE ESCALADA
18;6861;6899;0;0;2;AV JUAN B JUSTO;REMEDIOS DE ESCALADA;15;1;REMEDIOS DE ESCALADA
19;6801;6859;0;0;2;AV JUAN B JUSTO;REMEDIOS DE ESCALADA;15;1;REMEDIOS DE ESCALADA
20;7001;7099;7000;7098;2;CALLE PUBLICA;GUIÑAZU SUD;15;1;REMEDIOS DE ESCALADA
21;5601;5699;5600;5698;2;TTE RAUL GOUBAT;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
22;5501;5599;5500;5598;2;TTE RAUL GOUBAT;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
23;5401;5499;5400;5498;2;TTE RAUL GOUBAT;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
24;5601;5649;5600;5648;2;AARON DE ANCHORENA;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
25;5501;5549;5500;5548;2;TEODORO FELS;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
26;5501;5599;5500;5598;2;AARON DE ANCHORENA;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
27;5451;5499;5450;5498;2;TEODORO FELS;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
28;701;749;700;748;2;HORACIO ANASAGASTI;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
29;101;199;100;198;2;HORACIO ANASAGASTI;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
30;5401;5499;5400;5498;2;AARON DE ANCHORENA;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
31;1;99;0;98;2;HORACIO ANASAGASTI;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
32;5301;5399;5300;5398;2;AARON DE ANCHORENA;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
33;701;749;700;748;2;ALBERTO ROQUE MASCIAS;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
34;301;399;300;398;2;ALBERTO ROQUE MASCIAS;PARQUE JORGE NEWBERY;15;1;REMEDIOS DE ESCALADA
35;1;99;0;98;2;CALLE PUBLICA;LICEO GENERAL PAZ DE HECHO;15;1;REMEDIOS DE ESCALADA
36;6601;6699;6600;6698;2;CALLE PUBLICA;LICEO GENERAL PAZ DE HECHO;15;1;REMEDIOS DE ESCALADA
37;1;99;0;98;2;CALLE PUBLICA;LICEO GENERAL PAZ DE HECHO;15;1;REMEDIOS DE ESCALADA
38;0;0;6700;6748;2;AV JUAN B JUSTO;LICEO GENERAL PAZ DE HECHO;15;1;REMEDIOS DE ESCALADA
39;0;0;6690;6698;2;AV JUAN B JUSTO;LICEO GENERAL PAZ DE HECHO;15;1;REMEDIOS DE ESCALADA
40;0;0;6610;6688;2;AV JUAN B JUSTO;LICEO GENERAL PAZ DE HECHO;15;1;REMEDIOS DE ESCALADA
41;2301;2399;2300;2398;2;AV DE CIRCUNVALACION (NO) AGUSTIN TOSCO;LOS BOULEVARES DE HECHO;15;1;REMEDIOS DE ESCALADA
42;7001;7099;7000;7098;2;CALLE PUBLICA;LOS BOULEVARES DE HECHO;15;1;REMEDIOS DE ESCALADA
43;401;429;400;428;2;AMALIA CELIA FIGUEREDO DE PIETRA;LOS CHINGOLOS;15;1;REMEDIOS DE ESCALADA
